,Best approach,Silhouette Coefficient,Calinski-Harabasz,Davies-Bouldin,Dunn-Index,Composite Score
39-features-Wambiana-WetA-20min-full-day_n_neighbors_15_min_dist_0.4,"min_cluster_size=5, min_samples=2",0.7358056,9799.337730562936,0.43940951849447796,0.6049954608234356,3.9994856242343264
39-features-Wambiana-WetA-20min-full-day_n_neighbors_20_min_dist_0.1,"min_cluster_size=5, min_samples=2",0.8465148,27522.67055422488,0.21114475968601001,0.31486048510101866,3.9999999989896886
39-features-Wambiana-WetA-20min-full-day_n_neighbors_20_min_dist_0.2,"min_cluster_size=5, min_samples=2",0.81727964,19267.96340925378,0.24886998067516317,0.18477952155465469,3.999999998487645
39-features-Wambiana-WetA-20min-full-day_n_neighbors_20_min_dist_0.3,"min_cluster_size=5, min_samples=2",0.78460485,16044.429001732871,0.28615420778013423,0.11526206766143118,3.9999999942749387
39-features-Wambiana-WetA-20min-full-day_n_neighbors_20_min_dist_0.4,"min_cluster_size=5, min_samples=2",0.7583735,11064.814977225104,0.34691958487067887,0.35947051013897385,3.999999996985823
Tarcutta-DryA-20210430_n_neighbors_5_min_dist_0.1,"min_cluster_size=5, min_samples=2",0.57600045,5355.777971881654,0.4304119187562549,0.09091884110562096,3.7439151562006034
Tarcutta-DryA-20210430_n_neighbors_5_min_dist_0.2,"min_cluster_size=5, min_samples=2",0.52973187,3750.240662387974,0.48386162096546403,0.09803833508741983,3.9999999973400726
Tarcutta-DryA-20210430_n_neighbors_5_min_dist_0.3,"min_cluster_size=5, min_samples=2",0.5174783,3765.464896327444,0.6086850724658781,0.1327821781768391,3.8305578334106984
Tarcutta-DryA-20210430_n_neighbors_5_min_dist_0.4,"min_cluster_size=5, min_samples=2",0.46744874,2461.711563202342,0.5918560843691163,0.07507284980850641,3.9234497423856305
Tarcutta-DryA-20210430_n_neighbors_10_min_dist_0.1,"min_cluster_size=5, min_samples=2",0.55875677,5963.691000892085,0.49369715108771106,0.12251254769629599,3.9623800956184594
Tarcutta-DryA-20210430_n_neighbors_10_min_dist_0.2,"min_cluster_size=5, min_samples=2",0.53401494,4242.118575971325,0.5792273771773611,0.19514426061825133,3.99999999805776
Tarcutta-DryA-20210430_n_neighbors_10_min_dist_0.3,"min_cluster_size=5, min_samples=2",0.48383954,3640.2746453510763,0.6509545611908528,0.1280969457330853,1.0
Tarcutta-DryA-20210430_n_neighbors_10_min_dist_0.4,"min_cluster_size=5, min_samples=2",0.43760565,2807.4050552907484,0.7379267908237624,0.0960886072186033,3.999999996784249
Tarcutta-DryA-20210430_n_neighbors_15_min_dist_0.1,"min_cluster_size=5, min_samples=2",0.594936,6621.359266322915,0.4579432086565591,0.22728369199971013,3.999999998697086
Tarcutta-DryA-20210430_n_neighbors_15_min_dist_0.2,"min_cluster_size=5, min_samples=2",0.5599401,5916.729112090206,0.5292103596865099,0.1337909125765911,3.8510511975530277
Tarcutta-DryA-20210430_n_neighbors_15_min_dist_0.3,"min_cluster_size=5, min_samples=2",0.37662745,2491.4916156059335,0.6580948547011788,0.046696652034357376,3.861184104249207
Tarcutta-DryA-20210430_n_neighbors_15_min_dist_0.4,"min_cluster_size=5, min_samples=2",0.47716507,3144.8489119731807,0.6722034509900805,0.09177878081525356,3.9829616795615364
Tarcutta-DryA-20210430_n_neighbors_20_min_dist_0.1,"min_cluster_size=5, min_samples=2",0.6309544,7740.708787753212,0.42658468416778844,0.333656469129394,3.999999999006734
Tarcutta-DryA-20210430_n_neighbors_20_min_dist_0.2,"min_cluster_size=5, min_samples=2",0.56861097,5445.7324054260735,0.5187907858751206,0.20164998832007508,3.999999998270556
Tarcutta-DryA-20210430_n_neighbors_20_min_dist_0.3,"min_cluster_size=5, min_samples=2",0.5028556,3915.08687411581,0.6200544444049677,0.11463470677380706,3.999999996923153
Tarcutta-DryA-20210430_n_neighbors_20_min_dist_0.4,"min_cluster_size=5, min_samples=2",0.32747382,1866.749837126835,0.7186992728349619,0.030272496935460705,3.4623297212619217
